Cabin (group),Cabin,Channel Type,Sub Channel Type,Ticket Type,Point of Sale,Rev (GBP) CY,Rev (GBP) PY,Passengers CY,Passengers PY,Average Fare (GBP) CY,Average Fare (GBP) PY
J,J,Consumer,Consolidator,IT Net,GB,15681.0,5103.0,13.0,6.0,1206.0,851.0
J,J,Consumer,Consolidator,Published,NorAm,5983.0,3391.0,13.0,4.0,460.0,848.0
J,J,Consumer,Consolidator,Published,Other,1974.0,6605.0,4.0,12.0,494.0,550.0
J,J,Consumer,Consolidator,SME,GB,1947.0,1747.0,6.0,1.0,272.0,1747.0
J,J,Consumer,Consolidator,SO Net,NorAm,7521.0,2250.0,14.0,2.0,537.0,1125.0
J,J,Consumer,Consolidator,VFR,GB,1947.0,3275.0,6.0,6.0,272.0,546.0
J,J,Consumer,OTA,IT Net,GB,1947.0,1491.0,6.0,2.0,272.0,746.0
J,J,Consumer,OTA,IT Net,Other,1947.0,599.0,6.0,1.0,272.0,599.0
J,J,Consumer,OTA,Net Fare,NorAm,1947.0,291.0,6.0,2.0,272.0,145.0
J,J,Consumer,OTA,Published,NorAm,15488.0,12676.0,18.0,12.0,860.0,1056.0
J,J,Consumer,OTA,Published,Other,1046.0,2779.0,2.0,7.0,523.0,397.0
J,J,Consumer,OTA,SO Net,GB,927.0,2551.5,1.0,6.0,927.0,324.0
J,J,Consumer,OTA,SO Net,NorAm,5804.0,1330.0,6.0,2.0,967.0,665.0
J,J,Consumer,OTA,SO Net,Other,3833.0,1603.0,4.0,1.0,958.0,1603.0
J,J,Consumer,Retail,IT Net,GB,33755.0,13044.0,29.0,17.0,1164.0,767.0
J,J,Consumer,Retail,Portal,Other,1947.0,2447.0,6.0,5.0,272.0,489.0
J,J,Consumer,Retail,Published,GB,1947.0,6494.0,6.0,6.0,272.0,1082.0
J,J,Consumer,Retail,Published,NorAm,1027.0,2551.5,2.0,6.0,514.0,324.0
J,J,Consumer,Retail,Published,Other,4688.0,8537.0,2.0,9.0,2344.0,949.0
J,J,Consumer,Retail,SME,GB,13377.0,13207.0,8.0,8.0,1672.0,1651.0
J,J,Consumer,Retail,SO Net,GB,3856.0,9340.0,6.0,10.0,643.0,934.0
J,J,Consumer,Retail,SO Net,NorAm,1713.0,2551.5,2.0,6.0,856.0,324.0
J,J,Consumer,Retail,SO Net,Other,1602.0,1488.0,2.0,2.0,801.0,744.0
J,J,Consumer,Student,SO Net,NorAm,1238.0,2551.5,2.0,6.0,619.0,324.0
J,J,Consumer,Tour Op / Cruise,IT Net,GB,1734.0,1500.0,3.0,2.0,578.0,750.0
J,J,Consumer,Tour Op / Cruise,Published,NorAm,7526.0,4877.0,8.0,14.0,941.0,348.0
J,J,Consumer,Tour Op / Cruise,Published,Other,17515.0,883.0,9.0,1.0,1946.0,883.0
J,J,Consumer,Tour Op / Cruise,SME,GB,1864.0,2551.5,1.0,6.0,1864.0,324.0
J,J,Consumer,VFR,IT Net,GB,10686.0,2879.0,10.0,3.0,1069.0,960.0
J,J,Consumer,VFR,Published,GB,767.0,2551.5,1.0,6.0,767.0,324.0
J,J,Consumer,VFR,SME,GB,2811.0,7278.0,2.0,4.0,1406.0,1820.0
J,J,Consumer,VFR,SO Net,GB,963.0,2551.5,1.0,6.0,963.0,324.0
J,J,Direct,ATO,Published,GB,303.0,501.0,1.0,2.0,303.0,250.0
J,J,Direct,ATO,Published,NorAm,2715.0,5962.0,3.0,7.0,905.0,852.0
J,J,Direct,ATO,SO Net,Other,1947.0,583.0,6.0,1.0,272.0,583.0
J,J,Direct,CTO,Corporate,NorAm,1947.0,1259.0,6.0,1.0,272.0,1259.0
J,J,Direct,CTO,Published,GB,19101.0,4864.0,16.0,11.0,1194.0,442.0
J,J,Direct,CTO,Published,NorAm,8564.0,11749.0,16.0,13.0,535.0,904.0
J,J,Direct,CTO,Published,Other,0.0,2551.5,1.0,6.0,0.0,324.0
J,J,Direct,CTO,SO Net,GB,1947.0,2654.0,6.0,1.0,272.0,2654.0
J,J,Direct,OAL,Corporate,NorAm,2559.0,2729.0,1.0,2.0,2559.0,1365.0
J,J,Direct,OAL,Published,NorAm,99222.0,84185.0,71.0,78.0,1397.0,1079.0
J,J,Direct,Res,Corporate,GB,1947.0,251.0,6.0,1.0,272.0,251.0
J,J,Direct,Res,Published,GB,19044.0,51672.0,54.0,89.0,353.0,581.0
J,J,Direct,Res,Published,NorAm,12869.0,27046.0,23.0,46.0,560.0,588.0
J,J,Direct,Res,Published,Other,1947.0,288.0,6.0,1.0,272.0,288.0
J,J,Direct,Staff,Published,GB,854.0,279.0,96.0,13.0,9.0,21.0
J,J,Direct,Staff,SO Net,GB,1947.0,2665.0,6.0,2.0,272.0,1333.0
J,J,Direct,STAFF,Published,GB,0.0,0.0,4.0,1.0,0.0,0.0
J,J,Direct,STAFF,Published,NorAm,38.0,342.0,2.0,1.0,19.0,342.0
J,J,Direct,Web,Published,GB,87609.0,58647.0,90.0,93.0,973.0,631.0
J,J,Direct,Web,Published,NorAm,108134.0,79762.0,84.0,87.0,1287.0,917.0
J,J,Direct,Web,Published,Other,2019.0,2551.5,1.0,6.0,2019.0,324.0
