Cabin (group),Cabin,Channel Type,Sub Channel Type,Ticket Type,Point of Sale,Rev (GBP) CY,Rev (GBP) PY,Passengers CY,Passengers PY,Average Fare (GBP) CY,Average Fare (GBP) PY
J,J,Consumer,Consolidator,IT Net,GB,"15,681","5,103",13,6,"1,206",851
J,J,Consumer,Consolidator,Published,NorAm,"5,983","3,391",13,4,460,848
J,J,Consumer,Consolidator,Published,Other,"1,974","6,605",4,12,494,550
J,J,Consumer,Consolidator,SME,GB,,"1,747",,1,,"1,747"
J,J,Consumer,Consolidator,SO Net,NorAm,"7,521","2,250",14,2,537,"1,125"
J,J,Consumer,Consolidator,VFR,GB,,"3,275",,6,,546
J,J,Consumer,OTA,IT Net,GB,,"1,491",,2,,746
J,J,Consumer,OTA,IT Net,Other,,599,,1,,599
J,J,Consumer,OTA,Net Fare,NorAm,,291,,2,,145
J,J,Consumer,OTA,Published,NorAm,"15,488","12,676",18,12,860,"1,056"
J,J,Consumer,OTA,Published,Other,"1,046","2,779",2,7,523,397
J,J,Consumer,OTA,SO Net,GB,927,,1,,927,
J,J,Consumer,OTA,SO Net,NorAm,"5,804","1,330",6,2,967,665
J,J,Consumer,OTA,SO Net,Other,"3,833","1,603",4,1,958,"1,603"
J,J,Consumer,Retail,IT Net,GB,"33,755","13,044",29,17,"1,164",767
J,J,Consumer,Retail,Portal,Other,,"2,447",,5,,489
J,J,Consumer,Retail,Published,GB,,"6,494",,6,,"1,082"
J,J,Consumer,Retail,Published,NorAm,"1,027",,2,,514,
J,J,Consumer,Retail,Published,Other,"4,688","8,537",2,9,"2,344",949
J,J,Consumer,Retail,SME,GB,"13,377","13,207",8,8,"1,672","1,651"
J,J,Consumer,Retail,SO Net,GB,"3,856","9,340",6,10,643,934
J,J,Consumer,Retail,SO Net,NorAm,"1,713",,2,,856,
J,J,Consumer,Retail,SO Net,Other,"1,602","1,488",2,2,801,744
J,J,Consumer,Student,SO Net,NorAm,"1,238",,2,,619,
J,J,Consumer,Tour Op / Cruise,IT Net,GB,"1,734","1,500",3,2,578,750
J,J,Consumer,Tour Op / Cruise,Published,NorAm,"7,526","4,877",8,14,941,348
J,J,Consumer,Tour Op / Cruise,Published,Other,"17,515",883,9,1,"1,946",883
J,J,Consumer,Tour Op / Cruise,SME,GB,"1,864",,1,,"1,864",
J,J,Consumer,VFR,IT Net,GB,"10,686","2,879",10,3,"1,069",960
J,J,Consumer,VFR,Published,GB,767,,1,,767,
J,J,Consumer,VFR,SME,GB,"2,811","7,278",2,4,"1,406","1,820"
J,J,Consumer,VFR,SO Net,GB,963,,1,,963,
J,J,Direct,ATO,Published,GB,303,501,1,2,303,250
J,J,Direct,ATO,Published,NorAm,"2,715","5,962",3,7,905,852
J,J,Direct,ATO,SO Net,Other,,583,,1,,583
J,J,Direct,CTO,Corporate,NorAm,,"1,259",,1,,"1,259"
